"Comparison","diff","lwr","upr","p adj"
"EU-Africa",-0.401852912285714,-0.807236782718416,0.00353095814698862,0.0529014481928793
"LatAm-Africa",-0.165830458196428,-0.685074028401184,0.353413112008328,0.835739659775011
"USA-Africa",-0.709839376133928,-1.16448646856118,-0.255192283706679,0.000581574754528358
"LatAm-EU",0.236022454089286,-0.146550183972733,0.618595092151304,0.373350116460634
"USA-EU",-0.307986463848214,-0.596866918097552,-0.0191060095988769,0.0321117824701881
"USA-LatAm",-0.5440089179375,-0.978439257162659,-0.109578578712341,0.00812800628326593
