"region","min","var","mean","median","max"
"Africa",0.826492195,0.144398050690603,1.35389381157143,1.389852021,1.983177263
"EU",0.012812032,0.156572222480831,0.952040899285714,0.905826011,2.151595612
"LatAm",0.661426402,0.23912933319876,1.188063353375,1.00746979,1.892930333
"USA",0.266021609,0.0687248697599053,0.6440544354375,0.5742578265,1.191395186
