Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order
S23_Alicia.25,1,19,13,7,0.65,17,3,19,1,0.95,S23,S23_S23_Alicia.25
S23_Alicia.22,10,10,8,12,0.40,8,12,17,3,0.85,S23,S23_S23_Alicia.22
S23_Alexis.29,8,12,15,5,0.75,8,2,19,1,0.95,S23,S23_S23_Alexis.29
S23_Alexis.31,13,7,14,6,0.70,8,12,16,4,0.80,S23,S23_S23_Alexis.31
S23_Alexis.30,8,12,18,2,0.90,19,1,19,1,0.95,S23,S23_S23_Alexis.30
S23_Alicia.24,8,12,17,3,0.85,14,6,20,0,1.00,S23,S23_S23_Alicia.24
S23_Alicia.23,6,14,9,11,0.45,13,7,16,4,0.80,S23,S23_S23_Alicia.23
S23_Olivia.02,4,14,14,6,0.70,13,0,15,3,0.83,S23,S23_S23_Olivia.02
S23_Grace.57,,,,,,,,,,,S23,S23_S23_Grace.57
S23_Grace.59,6,14,5,15,0.25,12,8,20,0,1.00,S23,S23_S23_Grace.59
S23_Grace.58,5,15,16,4,0.80,17,3,18,2,0.90,S23,S23_S23_Grace.58
S23_Grace.60,11,9,13,7,0.65,12,8,13,7,0.65,S23,S23_S23_Grace.60
S23_Lucas.52,20,0,20,0,1.00,18,2,19,1,0.95,S23,S23_S23_Lucas.52
S23_Lucas.51,7,13,14,6,0.70,6,14,10,10,0.50,S23,S23_S23_Lucas.51
S23_Lucas.54,1,19,8,9,0.47,8,2,9,4,0.69,S23,S23_S23_Lucas.54
S23_Lucas.53,6,14,16,4,0.80,4,16,15,5,0.75,S23,S23_S23_Lucas.53
S23_Justine.44,9,6,13,2,0.87,13,7,14,6,0.70,S23,S23_S23_Justine.44
S23_Justine.45,4,16,17,3,0.85,11,9,14,7,0.67,S23,S23_S23_Justine.45
S23_Justine.47,0,20,0,20,0.00,9,11,14,6,0.70,S23,S23_S23_Justine.47
S23_Grace.62,11,9,13,7,0.65,12,8,13,7,0.65,S23,S23_S23_Grace.62
S23_Justine.46,4,16,9,11,0.45,9,11,14,6,0.70,S23,S23_S23_Justine.46
S23_Grace.37,14,,16,,1.00,13,7,16,4,0.80,S23,S23_S23_Grace.37
S23_Delores.80,13,7,17,3,0.85,15,5,16,4,0.80,S23,S23_S23_Delores.80
S23_Delores.81,,,,,,16,0,23,0,1.00,S23,S23_S23_Delores.81
S23_Grace.61,5,15,18,2,0.90,4,16,11,9,0.55,S23,S23_S23_Grace.61
S23_Delores.82,2,18,17,3,0.85,19,1,18,2,0.90,S23,S23_S23_Delores.82
S23_Delores.79,12,8,16,4,0.80,17,3,18,2,0.90,S23,S23_S23_Delores.79
S23_Leeza.72,,,,,,,,,,,S23,S23_S23_Leeza.72
S23_Jon.66,,,,,,,,,,,S23,S23_S23_Jon.66
S23_Jon.67,6,14,15,5,0.75,13,7,9,11,0.45,S23,S23_S23_Jon.67
S23_Leeza.73,7,13,9,11,0.45,12,12,15,6,0.71,S23,S23_S23_Leeza.73
S23_Jon.65,13,7,16,4,0.80,20,,19,,1.00,S23,S23_S23_Jon.65
S23_Leeza.71,15,5,20,0,1.00,19,1,20,0,1.00,S23,S23_S23_Leeza.71
S23_Leeza.74,14,6,14,6,0.70,20,0,20,0,1.00,S23,S23_S23_Leeza.74
S23_Jon.68,17,3,18,2,0.90,20,0,20,0,1.00,S23,S23_S23_Jon.68
S23_Sam.99,10,10,19,1,0.95,14,6,16,4,0.80,S23,S23_S23_Sam.99
S23_Sam.104,18,2,20,0,1.00,20,0,20,0,1.00,S23,S23_S23_Sam.104
S23_Sam.100,4,16,12,8,0.60,16,4,18,2,0.90,S23,S23_S23_Sam.100
S23_Sam.103,10,10,12,8,0.60,9,11,14,6,0.70,S23,S23_S23_Sam.103
S23_Sam.101,4,16,8,12,0.40,10,10,18,2,0.90,S23,S23_S23_Sam.101
S23_102,19,1,20,0,1.00,5,15,9,11,0.45,S23,S23_S23_102
S23_Yuki.85,7,7,5,1,0.83,10,10,13,5,0.72,S23,S23_S23_Yuki.85
S23_Yuki.89,6,10,10,4,0.71,14,6,16,4,0.80,S23,S23_S23_Yuki.89
S23_Yuki.87,2,18,9,11,0.45,19,1,17,3,0.85,S23,S23_S23_Yuki.87
S23_Yuki.86,6,12,17,3,0.85,20,0,19,1,0.95,S23,S23_S23_Yuki.86
S23_Rachel.92,10,10,12,8,0.60,17,3,20,0,1.00,S23,S23_S23_Rachel.92
S23_Rachel.95,2,18,15,5,0.75,7,5,16,4,0.80,S23,S23_S23_Rachel.95
S23_Rachel.93,15,4,16,5,0.76,20,0,20,0,1.00,S23,S23_S23_Rachel.93
S23_Rachel.94,2,18,16,4,0.80,17,3,16,4,0.80,S23,S23_S23_Rachel.94
S23_Deanna.122,5,15,13,7,0.65,4,7,7,11,0.39,S23,S23_S23_Deanna.122
S23_Deanna.124,10,10,9,11,0.45,8,12,8,12,0.40,S23,S23_S23_Deanna.124
S23_Deanna.120,3,17,13,7,0.65,5,15,19,1,0.95,S23,S23_S23_Deanna.120
S23_Lucas.50,,,,,,5,12,14,9,0.61,S23,S23_S23_Lucas.50
S23_Deanna.125,13,7,13,7,0.65,17,3,17,3,0.85,S23,S23_S23_Deanna.125
S23_123,4,16,15,5,0.75,17,3,16,4,0.80,S23,S23_S23_123
S23_Deanna. 123,4,16,15,5,0.75,17,3,16,4,0.80,S23,S23_S23_Deanna. 123
S23_Deanna.121,2,18,13,7,0.65,1,19,15,5,0.75,S23,S23_S23_Deanna.121
S23_Alicia.108,10,10,17,3,0.85,20,0,20,0,1.00,S23,S23_S23_Alicia.108
S23_Alicia.106,5,15,17,3,0.85,18,2,16,4,0.80,S23,S23_S23_Alicia.106
S23_Malcolm.119,10,10,6,14,0.30,20,0,20,0,1.00,S23,S23_S23_Malcolm.119
S23_Yuki.88,10,10,13,7,0.65,10,10,16,4,0.80,S23,S23_S23_Yuki.88
S23_Malcolm.115,11,9,17,3,0.85,7,13,16,4,0.80,S23,S23_S23_Malcolm.115
S23_2,14,6,16,4,0.80,11,9,13,7,0.65,S23,S23_S23_2
S23_Malcolm.113,13,7,13,7,0.65,0,20,0,20,0.00,S23,S23_S23_Malcolm.113
S23_Malcolm.116,17,3,19,1,0.95,20,0,19,1,0.95,S23,S23_S23_Malcolm.116
S23_Alicia.109,10,10,13,7,0.65,10,10,16,4,0.80,S23,S23_S23_Alicia.109
S23_Malcolm.114,11,17,8,18,0.31,0,20,0,20,0.00,S23,S23_S23_Malcolm.114
S23_Nadine.143,12,8,8,12,0.40,14,6,18,2,0.90,S23,S23_S23_Nadine.143
S23_Nadine.146,4,16,16,4,0.80,13,7,18,2,0.90,S23,S23_S23_Nadine.146
S23_Nadine. 145,17,3,16,4,0.80,11,9,14,6,0.70,S23,S23_S23_Nadine. 145
S23_Nadine.144,12,8,10,10,0.50,13,7,14,6,0.70,S23,S23_S23_Nadine.144
S23_Nadine.142,7,13,14,6,0.70,18,2,18,2,0.90,S23,S23_S23_Nadine.142
S23_141,15,5,15,5,0.75,5,15,11,9,0.55,S23,S23_S23_141
S23_Justine.128,,,,,,,,,,,S23,S23_S23_Justine.128
S23_Justine.130,11,9,9,11,0.45,8,12,12,8,0.60,S23,S23_S23_Justine.130
S23_Justine.127,6,14,14,6,0.70,18,2,18,2,0.90,S23,S23_S23_Justine.127
S23_Justine.131,14,6,15,5,0.75,19,1,20,0,1.00,S23,S23_S23_Justine.131
S23_Lucas.138,8,12,11,9,0.55,9,11,16,4,0.80,S23,S23_S23_Lucas.138
S23_Lucas.134,4,16,17,3,0.85,8,12,16,4,0.80,S23,S23_S23_Lucas.134
S23_Justine.129,10,10,15,5,0.75,10,10,16,4,0.80,S23,S23_S23_Justine.129
S23_Lucas.139,12,8,15,5,0.75,16,4,17,3,0.85,S23,S23_S23_Lucas.139
S23_Lucas.135,18,2,17,3,0.85,17,3,20,0,1.00,S23,S23_S23_Lucas.135
S23_Lucas.137,18,9,11,9,0.55,20,0,20,0,1.00,S23,S23_S23_Lucas.137
S23_Justine.43,5,15,15,5,0.75,11,9,14,6,0.70,S23,S23_S23_Justine.43
S23_Lucas.136,20,0,9,0,1.00,20,0,20,0,1.00,S23,S23_S23_Lucas.136
S23_Delores.163,7,13,5,12,0.29,14,6,20,0,1.00,S23,S23_S23_Delores.163
S23_Delores.166,7,13,6,14,0.30,17,3,19,1,0.95,S23,S23_S23_Delores.166
S23_Delores.164,13,7,8,12,0.40,6,14,10,10,0.50,S23,S23_S23_Delores.164
S23_Delores.162,0,20,14,6,0.70,0,20,0,20,0.00,S23,S23_S23_Delores.162
S23_165,9,11,8,12,0.40,0,20,6,14,0.30,S23,S23_S23_165
S23_Delores.167,2,18,7,13,0.35,11,9,15,5,0.75,S23,S23_S23_Delores.167
S23_151,0,0,1,1,0.50,20,0,20,0,1.00,S23,S23_S23_151
S23_Nadine.150,13,7,17,3,0.85,,,,,,S23,S23_S23_Nadine.150
S23_148,6,14,12,8,0.60,19,1,18,2,0.90,S23,S23_S23_148
S23_Nadine.149,3,17,12,8,0.60,12,8,17,3,0.85,S23,S23_S23_Nadine.149
S23_Melissa.156,20,0,18,2,0.90,20,1,19,0,1.00,S23,S23_S23_Melissa.156
S23_Melissa.155,2,18,8,12,0.40,19,1,14,6,0.70,S23,S23_S23_Melissa.155
S23_Melissa.158,3,17,4,16,0.20,12,8,11,9,0.55,S23,S23_S23_Melissa.158
S23_Melissa.159,5,15,6,14,0.30,9,11,13,7,0.65,S23,S23_S23_Melissa.159
S23_Olivia.186,6,4,10,0,1.00,3,9,8,6,0.57,S23,S23_S23_Olivia.186
S23_Olivia.187,1,19,16,4,0.80,17,3,19,1,0.95,S23,S23_S23_Olivia.187
S23_Olivia.185,8,12,14,6,0.70,17,3,18,2,0.90,S23,S23_S23_Olivia.185
S23_Olivia.184,5,8,12,7,0.63,8,12,18,2,0.90,S23,S23_S23_Olivia.184
S23_Olivia.183,6,14,5,15,0.25,8,12,13,7,0.65,S23,S23_S23_Olivia.183
S23_Olivia.188,4,16,2,18,0.10,16,4,17,3,0.85,S23,S23_S23_Olivia.188
S23_Leeza.178,1,19,14,6,0.70,13,7,12,2,0.86,S23,S23_S23_Leeza.178
S23_Tatiana. 169,7,13,17,3,0.85,7,13,8,12,0.40,S23,S23_S23_Tatiana. 169
S23_Tatiana.171,7,13,14,6,0.70,,,,,,S23,S23_S23_Tatiana.171
S23_Leeza.176,3,17,14,6,0.70,11,9,12,7,0.63,S23,S23_S23_Leeza.176
S23_Tatiana.172,7,11,13,9,0.59,6,3,3,1,0.75,S23,S23_S23_Tatiana.172
S23_179,14,6,9,11,0.45,9,11,17,3,0.85,S23,S23_S23_179
S23_Tatiana.174,8,12,18,2,0.90,14,6,17,3,0.85,S23,S23_S23_Tatiana.174
S23_Tatiana.173,,,,,,11,9,14,6,0.70,S23,S23_S23_Tatiana.173
S23_leeza.177,15,5,15,5,0.75,11,9,15,5,0.75,S23,S23_S23_leeza.177
S23_205,12,8,17,3,0.85,16,4,18,2,0.90,S23,S23_S23_205
S23_Deanna.206,6,14,13,7,0.65,13,7,15,5,0.75,S23,S23_S23_Deanna.206
S23_Melissa.157,9,11,11,9,0.55,11,9,14,6,0.70,S23,S23_S23_Melissa.157
S23_Deanna.205,12,8,17,3,0.85,16,4,18,2,0.90,S23,S23_S23_Deanna.205
S23_Deanna.209,4,16,9,11,0.45,9,11,17,3,0.85,S23,S23_S23_Deanna.209
S23_Deanna.208,9,11,15,5,0.75,12,8,17,3,0.85,S23,S23_S23_Deanna.208
S23_Malcolm.201,2,18,4,16,0.20,9,11,11,9,0.55,S23,S23_S23_Malcolm.201
S23_Deanna.207,3,17,12,8,0.60,4,16,13,7,0.65,S23,S23_S23_Deanna.207
S23_Malcolm.200,10,10,14,6,0.70,0,20,0,20,0.00,S23,S23_S23_Malcolm.200
S23_Cam.190,10,10,12,8,0.60,13,2,15,5,0.75,S23,S23_S23_Cam.190
S23_Malcolm.197,18,2,17,3,0.85,0,20,0,20,0.00,S23,S23_S23_Malcolm.197
S23_Cam.191,20,0,20,0,1.00,7,13,15,5,0.75,S23,S23_S23_Cam.191
S23_Cam.193,,,,,,,,,,,S23,S23_S23_Cam.193
S23_Malcolm.199,16,16,16,18,0.47,17,3,18,2,0.90,S23,S23_S23_Malcolm.199
S23_Malcolm.198,,,,,,13,0,7,0,1.00,S23,S23_S23_Malcolm.198
S23_Cam.194,4,15,9,13,0.41,7,8,18,7,0.72,S23,S23_S23_Cam.194
S23_Cam.192,2,18,8,10,0.44,6,14,12,8,0.60,S23,S23_S23_Cam.192
S23_Deanna.204,14,6,18,2,0.90,16,4,19,1,0.95,S23,S23_S23_Deanna.204
S23_Malcolm.202,3,17,11,9,0.55,17,3,19,1,0.95,S23,S23_S23_Malcolm.202
S23_Nick.235,8,12,14,6,0.70,13,7,17,3,0.85,S23,S23_S23_Nick.235
S23_Nick.234,10,10,15,5,0.75,4,16,4,16,0.20,S23,S23_S23_Nick.234
S23_Nick.237,11,9,12,8,0.60,12,8,13,7,0.65,S23,S23_S23_Nick.237
S23_NICK.232,1,19,11,9,0.55,3,17,18,2,0.90,S23,S23_S23_NICK.232
S23_Nick.236,5,15,8,12,0.40,14,6,17,3,0.85,S23,S23_S23_Nick.236
S23_Yuki.212,7,13,18,2,0.90,16,4,12,8,0.60,S23,S23_S23_Yuki.212
S23_Nick.233,3,17,8,12,0.40,1,19,4,16,0.20,S23,S23_S23_Nick.233
S23_Alexis.220,19,1,19,1,0.95,20,0,20,0,1.00,S23,S23_S23_Alexis.220
S23_Yuki.214,9,5,0,0,,10,10,12,8,0.60,S23,S23_S23_Yuki.214
S23_Yuki.211,10,10,7,10,0.41,9,11,14,6,0.70,S23,S23_S23_Yuki.211
S23_Alexis.221,4,16,2,18,0.10,1,19,13,7,0.65,S23,S23_S23_Alexis.221
S23_Alexis.222,10,10,14,6,0.70,20,0,20,0,1.00,S23,S23_S23_Alexis.222
S23_Deanna.201,14,6,18,2,0.90,17,3,18,2,0.90,S23,S23_S23_Deanna.201
S23_Alexis.219,9,11,15,5,0.75,9,11,10,19,0.34,S23,S23_S23_Alexis.219
S23_Alexis.218,4,16,3,17,0.15,4,16,5,15,0.25,S23,S23_S23_Alexis.218
S23_Jon.240,1,19,14,6,0.70,16,4,17,3,0.85,S23,S23_S23_Jon.240
S23_Jon.241,13,7,11,9,0.55,16,4,18,2,0.90,S23,S23_S23_Jon.241
S23_Jon.239,2,18,2,18,0.10,7,13,9,11,0.45,S23,S23_S23_Jon.239
S23_Nick.226,18,2,20,0,1.00,7,13,17,3,0.85,S23,S23_S23_Nick.226
S23_Nick.225,8,12,15,5,0.75,2,18,2,18,0.10,S23,S23_S23_Nick.225
S23_Rachel.248,5,15,7,13,0.35,6,14,7,13,0.35,S23,S23_S23_Rachel.248
S23_Rachel.247,18,2,20,0,1.00,17,3,19,1,0.95,S23,S23_S23_Rachel.247
S23_Rachel.246,9,10,15,5,0.75,11,9,15,5,0.75,S23,S23_S23_Rachel.246
S23_249,10,10,16,4,0.80,17,3,16,4,0.80,S23,S23_S23_249
S23_Cam.260,10,10,13,7,0.65,11,9,19,1,0.95,S23,S23_S23_Cam.260
S23_Tatiana.254,6,14,13,7,0.65,13,7,19,1,0.95,S23,S23_S23_Tatiana.254
S23_Cam.262,33,22,27,12,0.69,19,23,52,30,0.63,S23,S23_S23_Cam.262
S23_Cam.261,11,18,14,12,0.54,20,0,15,5,0.75,S23,S23_S23_Cam.261
S23_Cam.263,14,6,15,5,0.75,8,12,10,10,0.50,S23,S23_S23_Cam.263
S23_Tatiana.253,22,23,23,7,0.77,8,12,13,7,0.65,S23,S23_S23_Tatiana.253
S23_Tatiana.170,8,12,13,7,0.65,4,16,13,7,0.65,S23,S23_S23_Tatiana.170
S23_Yuki.213,0,49,53,0,1.00,24,13,26,17,0.60,S23,S23_S23_Yuki.213
F23_Ninah.02,12,8,11,9,0.55,8,12,14,0,1.00,F23,F23_F23_Ninah.02
F23_Nick.01,12,8,17,3,0.85,6,14,14,6,0.70,F23,F23_F23_Nick.01
F23_NICK.02,6,14,11,9,0.55,8,11,13,5,0.72,F23,F23_F23_NICK.02
F23_Ninah.01,12,8,13,7,0.65,18,2,16,4,0.80,F23,F23_F23_Ninah.01
F23_Nick.04,7,8,13,7,0.65,12,8,15,5,0.75,F23,F23_F23_Nick.04
F23_Nick.03,17,3,17,3,0.85,19,1,16,4,0.80,F23,F23_F23_Nick.03
F23_Ninah.03,4,16,14,6,0.70,7,13,16,4,0.80,F23,F23_F23_Ninah.03
F23_Nick.06,13,7,16,4,0.80,10,10,20,0,1.00,F23,F23_F23_Nick.06
F23_Nick.05,9,11,17,3,0.85,,,,,,F23,F23_F23_Nick.05
F23_Nick.07,10,10,13,7,0.65,18,2,19,1,0.95,F23,F23_F23_Nick.07
F23_Charlie.01,1,19,13,7,0.65,11,9,5,15,0.25,F23,F23_F23_Charlie.01
F23_Charlie.02,18,2,19,1,0.95,6,14,15,5,0.75,F23,F23_F23_Charlie.02
F23_Ninah.04,2,11,19,9,0.68,14,14,11,9,0.55,F23,F23_F23_Ninah.04
F23_Ashley.03,0,20,9,11,0.45,6,14,8,12,0.40,F23,F23_F23_Ashley.03
F23_Madeleine.01,7,13,17,3,0.85,3,17,12,8,0.60,F23,F23_F23_Madeleine.01
F23_Ashley.02,12,8,16,4,0.80,0,2,2,5,0.29,F23,F23_F23_Ashley.02
F23_Ashley.04,6,14,7,13,0.35,16,4,15,5,0.75,F23,F23_F23_Ashley.04
F23_Madeleine.03,9,11,13,7,0.65,18,2,18,2,0.90,F23,F23_F23_Madeleine.03
F23_Madeleine.04,18,2,20,0,1.00,18,2,17,3,0.85,F23,F23_F23_Madeleine.04
F23_Madeleine.02,17,3,12,8,0.60,14,6,20,0,1.00,F23,F23_F23_Madeleine.02
F23_Ashley.01,10,10,8,12,0.40,0,2,2,5,0.29,F23,F23_F23_Ashley.01
F23_Deanna.01,6,14,8,12,0.40,9,11,11,9,0.55,F23,F23_F23_Deanna.01
F23_Sophia.01,9,11,20,0,1.00,13,7,13,7,0.65,F23,F23_F23_Sophia.01
F23_Sophia.02,2,18,7,13,0.35,11,9,17,3,0.85,F23,F23_F23_Sophia.02
F23_Eric.02,6,5,4,0,1.00,7,3,6,4,0.60,F23,F23_F23_Eric.02
F23_Eric.01,12,8,13,7,0.65,11,9,18,2,0.90,F23,F23_F23_Eric.01
F23_Charlie.04,15,5,19,1,0.95,13,7,10,10,0.50,F23,F23_F23_Charlie.04
F23_Ashley.05,18,2,18,2,0.90,6,14,16,4,0.80,F23,F23_F23_Ashley.05
F23_Ashley.06,10,10,11,9,0.55,13,7,18,2,0.90,F23,F23_F23_Ashley.06
F23_Charlie.03,18,8,16,4,0.80,1,2,8,2,0.80,F23,F23_F23_Charlie.03
F23_Madeleine.06,19,1,14,6,0.70,15,5,20,0,1.00,F23,F23_F23_Madeleine.06
F23_Madeleine.05,9,11,17,3,0.85,15,5,16,4,0.80,F23,F23_F23_Madeleine.05
F23_Madeline.07,,,,,,11,9,16,4,0.80,F23,F23_F23_Madeline.07
F23_Eric.03,19,1,19,1,0.95,15,5,19,1,0.95,F23,F23_F23_Eric.03
F23_Eric.04,18,2,20,0,1.00,14,6,20,0,1.00,F23,F23_F23_Eric.04
F23_Deanna.04,12,8,18,2,0.90,16,4,20,0,1.00,F23,F23_F23_Deanna.04
F23_Deanna.02,3,17,11,9,0.55,19,1,20,0,1.00,F23,F23_F23_Deanna.02
F23_Deanna.03,12,8,18,2,0.90,12,8,12,8,0.60,F23,F23_F23_Deanna.03
F23_Sophia.04,8,12,17,3,0.85,9,11,15,5,0.75,F23,F23_F23_Sophia.04
F23_Sophia.06,7,13,10,10,0.50,12,8,15,5,0.75,F23,F23_F23_Sophia.06
F23_Sophia.05,2,18,13,7,0.65,15,5,18,2,0.90,F23,F23_F23_Sophia.05
F23_Sophia.03,7,13,12,8,0.60,7,13,10,10,0.50,F23,F23_F23_Sophia.03
S24_1.2,9,11,7,13,0.35,1,19,10,10,0.50,S24,S24_S24_1.2
S24_1.4,10,10,16,4,0.80,20,0,20,0,1.00,S24,S24_S24_1.4
S24_1.3,8,12,10,10,0.50,10,10,17,3,0.85,S24,S24_S24_1.3
S24_1.5,12,8,19,1,0.95,15,5,16,4,0.80,S24,S24_S24_1.5
S24_2.1,6,14,11,9,0.55,,,,,,S24,S24_S24_2.1
S24_2.2,10,10,15,5,0.75,4,16,19,1,0.95,S24,S24_S24_2.2
S24_2.3,0,20,14,6,0.70,,,,,,S24,S24_S24_2.3
S24_2.4,6,14,18,2,0.90,13,7,16,4,0.80,S24,S24_S24_2.4
S24_2.5,6,14,7,13,0.35,6,14,12,8,0.60,S24,S24_S24_2.5
S24_1.1,19,1,19,1,0.95,14,6,18,2,0.90,S24,S24_S24_1.1
S24_3.2,1,19,13,7,0.65,10,10,16,4,0.80,S24,S24_S24_3.2
S24_3.4,5,15,7,13,0.35,16,4,15,5,0.75,S24,S24_S24_3.4
S24_3.1,16,4,18,2,0.90,13,7,14,6,0.70,S24,S24_S24_3.1
S24_4.4,9,11,16,4,0.80,19,1,20,0,1.00,S24,S24_S24_4.4
S24_4.1,8,12,14,6,0.70,14,6,8,12,0.40,S24,S24_S24_4.1
S24_4.2,9,11,10,10,0.50,8,12,14,6,0.70,S24,S24_S24_4.2
S24_4.5,12,8,16,4,0.80,18,2,20,0,1.00,S24,S24_S24_4.5
S24_5.3,7,13,16,4,0.80,13,7,19,1,0.95,S24,S24_S24_5.3
S24_5.4,20,0,18,2,0.90,20,0,20,0,1.00,S24,S24_S24_5.4
S24_5.1,13,7,17,3,0.85,17,3,18,2,0.90,S24,S24_S24_5.1
S24_5.5,16,4,17,3,0.85,18,2,19,1,0.95,S24,S24_S24_5.5
S24_5.2,11,9,14,6,0.70,8,7,17,3,0.85,S24,S24_S24_5.2
S24_4.3,15,5,13,7,0.65,11,9,18,2,0.90,S24,S24_S24_4.3
S24_6.1,,,,,,18,2,20,0,1.00,S24,S24_S24_6.1
S24_6.2,0,20,17,3,0.85,3,17,17,3,0.85,S24,S24_S24_6.2
S24_6.3,7,13,18,2,0.90,20,1,20,1,0.95,S24,S24_S24_6.3
S24_6.5,12,8,17,3,0.85,20,0,20,0,1.00,S24,S24_S24_6.5
S24_6.4,11,9,19,1,0.95,10,10,12,8,0.60,S24,S24_S24_6.4
S24_7.4,17,3,15,3,0.83,18,2,18,2,0.90,S24,S24_S24_7.4
S24_7.3,8,12,13,7,0.65,7,13,11,9,0.55,S24,S24_S24_7.3
S24_7.2,10,10,13,7,0.65,16,4,17,3,0.85,S24,S24_S24_7.2
S24_7.5,9,11,15,5,0.75,6,14,8,12,0.40,S24,S24_S24_7.5
S24_8.4,8,12,15,5,0.75,12,8,16,4,0.80,S24,S24_S24_8.4
S24_8.5,3,17,13,7,0.65,5,15,15,5,0.75,S24,S24_S24_8.5
S24_8.3,15,5,19,1,0.95,20,0,20,0,1.00,S24,S24_S24_8.3
S24_8.1,13,7,13,7,0.65,18,2,19,1,0.95,S24,S24_S24_8.1
S24_7.1,12,8,13,7,0.65,8,12,15,5,0.75,S24,S24_S24_7.1
S24_8.2,11,9,13,7,0.65,14,6,11,9,0.55,S24,S24_S24_8.2
S24_9.3,18,2,20,0,1.00,18,2,15,1,0.94,S24,S24_S24_9.3
S24_9.1,5,9,8,9,0.47,,,,,,S24,S24_S24_9.1
S24_9.4,12,8,18,2,0.90,,,,,,S24,S24_S24_9.4
S24_9.2,13,7,15,5,0.75,,,,,,S24,S24_S24_9.2
S24_9.5,4,16,10,10,0.50,17,3,16,4,0.80,S24,S24_S24_9.5
S24_10.3,,,,,,,,,,,S24,S24_S24_10.3
S24_10.4,18,,14,,1.00,9,,13,,1.00,S24,S24_S24_10.4
S24_10.1,11,9,18,2,0.90,13,7,19,1,0.95,S24,S24_S24_10.1
S24_10.2,6,14,16,4,0.80,,,,,0.00,S24,S24_S24_10.2
S24_11.1,10,10,20,0,1.00,20,0,18,2,0.90,S24,S24_S24_11.1
S24_11.4,7,13,7,13,0.35,13,7,20,0,1.00,S24,S24_S24_11.4
S24_11.2,6,14,10,10,0.50,19,1,18,2,0.90,S24,S24_S24_11.2
S24_11.5,1,19,15,5,0.75,9,11,14,6,0.70,S24,S24_S24_11.5
S24_11.3,8,12,14,6,0.70,20,0,20,0,1.00,S24,S24_S24_11.3
S24_12.4,11,9,11,9,0.55,19,1,20,0,1.00,S24,S24_S24_12.4
S24_12.2,17,3,18,2,0.90,5,15,16,4,0.80,S24,S24_S24_12.2
S24_12.1,10,10,11,9,0.55,12,8,14,6,0.70,S24,S24_S24_12.1
S24_10.5,7,13,4,16,0.20,,,,,0.00,S24,S24_S24_10.5
S24_13.2,13,7,17,3,0.85,20,0,20,0,1.00,S24,S24_S24_13.2
S24_13.4,10,10,18,2,0.90,12,8,17,3,0.85,S24,S24_S24_13.4
S24_13.1,0,10,3,6,0.33,20,0,20,0,1.00,S24,S24_S24_13.1
S24_13.5,18,2,17,3,0.85,19,1,19,1,0.95,S24,S24_S24_13.5
S24_13.3,20,0,20,0,1.00,16,4,19,1,0.95,S24,S24_S24_13.3
S24_3.3,14,6,19,1,0.95,7,13,15,5,0.75,S24,S24_S24_3.3
S24_3.5,14,6,16,4,0.80,19,1,19,1,0.95,S24,S24_S24_3.5
S24_12.5,11,9,12,8,0.60,13,7,14,6,0.70,S24,S24_S24_12.5
S24_14.4,9,11,18,2,0.90,16,4,16,4,0.80,S24,S24_S24_14.4
S24_14.3,12,8,19,1,0.95,4,16,18,2,0.90,S24,S24_S24_14.3
S24_14.1,,,,,0.00,5,15,13,7,0.65,S24,S24_S24_14.1
S24_14.2,13,7,18,2,0.90,8,12,13,7,0.65,S24,S24_S24_14.2
S24_15.1,5,15,12,8,0.60,19,1,20,0,1.00,S24,S24_S24_15.1
S24_15.5,12,8,11,9,0.55,15,5,18,2,0.90,S24,S24_S24_15.5
S24_15.3,6,14,10,10,0.50,10,10,20,0,1.00,S24,S24_S24_15.3
S24_15.2,2,18,9,11,0.45,13,7,10,10,0.50,S24,S24_S24_15.2
S24_15.4,2,18,8,12,0.40,1,19,3,17,0.15,S24,S24_S24_15.4
S24_16.3,7,13,17,3,0.85,20,0,18,2,0.90,S24,S24_S24_16.3
S24_16.2,20,0,20,0,1.00,20,0,20,0,1.00,S24,S24_S24_16.2
S24_16.1,8,12,18,2,0.90,19,1,20,0,1.00,S24,S24_S24_16.1
S24_16.4,12,8,18,2,0.90,17,3,18,2,0.90,S24,S24_S24_16.4
S24_16.5,15,5,18,2,0.90,15,5,20,0,1.00,S24,S24_S24_16.5
S24_17.5,10,10,13,7,0.65,12,8,14,6,0.70,S24,S24_S24_17.5
S24_17.3,7,7,8,3,0.73,6,14,17,3,0.85,S24,S24_S24_17.3
S24_17.4,16,4,18,2,0.90,11,9,19,1,0.95,S24,S24_S24_17.4
S24_17.1,2,18,12,8,0.60,16,4,14,6,0.70,S24,S24_S24_17.1
S24_17.2,7,13,15,5,0.75,10,10,19,1,0.95,S24,S24_S24_17.2
S24_18.1,14,6,18,2,0.90,20,0,20,0,1.00,S24,S24_S24_18.1
S24_18.4,12,8,18,2,0.90,11,9,14,6,0.70,S24,S24_S24_18.4
S24_18.3,11,9,12,8,0.60,20,0,20,0,1.00,S24,S24_S24_18.3
