Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order
F21_32,0,20,7,13,0.35,4,16,13,7,0.65,F21,
F21_30,8,12,15,5,0.75,0,0,0,0,,F21,
F21_43,0,20,0,20,0.00,0,0,0,0,,F21,
F21_47,4,16,9,11,0.45,5,15,13,7,0.65,F21,
F21_42,0,1,2,1,0.67,8,8,8,11,0.42,F21,
F21_44,8,12,15,5,0.75,0,9,10,1,0.91,F21,
F21_45,0,20,11,9,0.55,2,18,3,17,0.15,F21,
F21_41,3,17,10,10,0.50,3,17,9,11,0.45,F21,
F21_40,3,16,5,9,0.36,1,6,2,4,0.33,F21,
F21_50,0,0,0,0,,0,0,0,0,,F21,
F21_56,0,0,0,0,,0,0,0,0,,F21,
F21_59,0,20,0,20,0.00,0,0,0,0,,F21,
F21_54,0,0,0,0,,5,15,8,12,0.40,F21,
F21_53,7,16,12,9,0.57,0,20,0,20,0.00,F21,
F21_55,0,0,0,0,,10,0,10,0,1.00,F21,
F21_52,0,0,0,0,,1,19,6,14,0.30,F21,
F21_57,5,15,9,7,0.56,0,20,2,11,0.15,F21,
F21_51,12,8,13,7,0.65,11,9,14,6,0.70,F21,
F21_63,20,0,20,0,1.00,20,0,20,0,1.00,F21,
F21_62,0,0,0,0,,4,16,11,9,0.55,F21,
F21_61,20,0,20,0,1.00,0,20,0,20,0.00,F21,
F21_65,5,15,6,14,0.30,1,19,8,12,0.40,F21,
F21_46,7,13,12,8,0.60,0,20,10,10,0.50,F21,
F21_60,4,12,11,9,0.55,3,17,8,12,0.40,F21,
F21_49,3,17,10,10,0.50,3,17,9,11,0.45,F21,
F21_45,0,20,11,9,0.55,2,18,3,17,0.15,F21,
S22_11,6,14,10,10,0.50,13,7,17,3,0.85,S22,
S22_10,14,6,9,11,0.45,12,8,12,1,0.92,S22,
S22_14,4,16,14,6,0.70,9,11,13,7,0.65,S22,
S22_13,3,17,7,13,0.35,1,19,6,14,0.30,S22,
S22_12,3,17,12,8,0.60,5,15,13,7,0.65,S22,
S22_2,11,9,15,5,0.75,3,18,20,12,0.63,S22,
S22_20,11,9,15,5,0.75,3,18,20,12,0.63,S22,
S22_33,13,7,16,4,0.80,3,17,5,15,0.25,S22,
S22_32,11,9,20,0,1.00,6,14,8,12,0.40,S22,
S22_34,5,15,4,16,0.20,11,9,16,4,0.80,S22,
S22_30,6,14,19,1,0.95,8,12,5,15,0.25,S22,
S22_31,2,18,9,11,0.45,5,15,6,14,0.30,S22,
S22_43,0,20,11,9,0.55,10,10,15,5,0.75,S22,
S22_42,3,17,11,9,0.55,6,13,13,6,0.68,S22,
S22_41,8,12,11,9,0.55,3,17,5,15,0.25,S22,
S22_44,4,16,18,2,0.90,8,12,17,3,0.85,S22,
S22_45,2,18,7,13,0.35,0,20,13,7,0.65,S22,
S22_40,3,17,4,16,0.20,4,16,10,10,0.50,S22,
S22_52,8,12,14,6,0.70,5,15,11,9,0.55,S22,
S22_51,7,13,10,10,0.50,9,11,15,5,0.75,S22,
S22_54,15,5,10,10,0.50,4,16,14,6,0.70,S22,
S22_53,8,12,5,15,0.25,7,13,6,14,0.30,S22,
S22_55,15,13,7,5,0.58,12,8,16,4,0.80,S22,
S22_50,17,3,12,8,0.60,9,11,16,4,0.80,S22,
S22_61,10,10,4,16,0.20,10,10,9,11,0.45,S22,
S22_64,5,15,17,3,0.85,9,11,8,12,0.40,S22,
S22_60,7,13,8,12,0.40,8,12,11,9,0.55,S22,
S22_62,9,11,16,4,0.80,4,16,6,14,0.30,S22,
S22_80,7,13,6,14,0.30,9,11,12,8,0.60,S22,
S22_82,12,8,15,5,0.75,2,18,8,12,0.40,S22,
S22_83,7,13,14,6,0.70,11,9,11,9,0.55,S22,
S22_81,11,9,12,8,0.60,6,14,14,6,0.70,S22,
S22_85,8,12,12,8,0.60,11,9,17,3,0.85,S22,
S22_70,6,14,11,9,0.55,7,13,10,10,0.50,S22,
S22_74,4,16,8,12,0.40,3,17,3,17,0.15,S22,
S22_71,4,16,9,11,0.45,9,11,17,3,0.85,S22,
S22_73,5,15,7,13,0.35,11,9,10,10,0.50,S22,
S22_72,0,20,13,7,0.65,7,13,9,11,0.45,S22,
S22_102,19,17,20,8,0.71,45,17,38,8,0.83,S22,
S22_101,9,24,30,18,0.63,37,6,43,3,0.93,S22,
S22_104,40,16,46,18,0.72,15,53,30,28,0.52,S22,
S22_103,19,21,11,10,0.52,15,59,27,47,0.36,S22,
S22_105,21,39,37,15,0.71,25,31,35,9,0.80,S22,
S22_92,11,9,12,8,0.60,4,16,5,15,0.25,S22,
S22_94,7,13,11,9,0.55,2,18,7,13,0.35,S22,
S22_90,12,15,13,4,0.76,13,22,13,32,0.29,S22,
S22_93,2,18,6,14,0.30,10,10,13,7,0.65,S22,
S22_200,10,10,18,2,0.90,10,10,16,4,0.80,S22,
S22_202,4,16,18,2,0.90,4,16,8,12,0.40,S22,
S22_205,4,16,3,17,0.15,12,8,14,6,0.70,S22,
S22_201,2,18,8,12,0.40,7,13,13,7,0.65,S22,
S22_203,4,16,13,7,0.65,10,10,13,7,0.65,S22,
S22_302,6,14,7,13,0.35,13,7,13,7,0.65,S22,
S22_300,9,11,10,10,0.50,3,17,17,15,0.53,S22,
S22_303,5,15,4,16,0.20,3,17,10,10,0.50,S22,
S22_301,4,16,13,4,0.76,2,18,8,12,0.40,S22,
S22_304,4,16,9,11,0.45,5,15,10,10,0.50,S22,
S22_305,0,20,5,15,0.25,6,14,13,7,0.65,S22,
S22_402,8,11,19,1,0.95,3,17,13,7,0.65,S22,
S22_401,6,14,17,3,0.85,3,17,11,9,0.55,S22,
