area,var,min,IQ25_p,mean,median,IQ75_p,max
A,53377740.574361034,1231.95,4676.86,10011.068823529413,6150.22,13960.23,23833.63
C,516785329899.6246,46312.59,128384.445,509067.48555555556,197069.54,846790.63,3496392.82
