trawl_led,min_p,IQ25_p,mean_p,median_p,IQ75_p,max_p
0,11.74,101.29749999999999,138.39352941176472,135.905,163.49,301.58
1,19.49,142.96,205.67444444444445,225.27,247.81,383.33
