Year,Author,Title,Location,eDNA type 1,eDNA type 2,eDNA type 3,Lat,Long,n
2004,Venter et al.,Environmental Genome Shotgun Sequencing of the Sargasso Sea,"Sargasso Sea (North Atlantic Ocean, near Bermuda)",Marine,,,32.3078,-64.7505,3
2023,Koda et al.,"A novel eDNA approach for rare species monitoring: Application of
long-read shotgun sequencing to Lynx rufus soil pawprints","Marineland, Florida",Sediment,,,29.2071,-81.0197,3
2019,Parducci et al.,"Shotgun environmental DNA, pollen, and macrofossil analysis of lateglacial lake sediments from southern Sweden","Hässeldala Port in Blekinge province, southeast Sweden",Sediment,,,56.2667,15.0167,16
2016,Graham et al.,"Timing and causes of mid-Holocene mammoth extinction on St. Paul Island, Alaska","St. Paul Island, Alaska",Sediment,,,57.1208,-170.283,2
2016,Pederson et al.,Postglacial viability and colonization in North America's ice-free corridor,Beringia (northeast Siberia and northwest North America),Sediment,,,65.8938,-168.3954,49
2018,Bovo et al.,Shotgun metagenomics of honey DNA: Evaluation of a methodological approach to describe a multi-kingdom honey bee derived environmental DNA signature,"Sicily, Italy",Honey,,,37.3979,14.6588,2
2018,Cowart et al.,Metagenomic sequencing of environmental DNA reveals marine faunal assemblages from the West Antarctic Peninsula,West Antarctic Peninsula,Marine,,,-64.7742,-64.0545,15
2025,Patin et al.,Markers or metagenomes: sequencing marine eukaryotic DNA for better biodiversity surveys,California current,Marine,,,36.8007,-121.9473,221
2022,Farrell et al.,Detection and population genomics of sea turtle species vianoninvasive environmental DNA analysis of nesting beach sandtracks and oceanic water,"St. Augustine, Florida ",Marine,Sand,,29.8856,-81.3116,21
2025,Nousias et al.,"Shotgun sequencing of airborne eDNA achieves rapid assessment of whole biomes, population genetics and genomic variation","Dublin, Ireland ",Air,Water,Soil,53.3498,-6.2603,72
